Language Pair,Finetuning Language Pair,Relative BLEU Change
kn-en,uk-en,-0.776828964714
ko-en,uk-en,-0.523799644309
ku-en,uk-en,-0.760537094623
ky-en,uk-en,-0.826515337767
lb-en,uk-en,-0.53576193803
lo-en,uk-en,-0.497970620404
lt-en,uk-en,-0.516227362741
lv-en,uk-en,-0.470071368187
mg-en,uk-en,-0.629730682942
mi-en,uk-en,-0.571439567583
mk-en,uk-en,-0.484914900711
ml-en,uk-en,-0.875680626391
mn-en,uk-en,-0.78288108963
mr-en,uk-en,-0.779727119033
ms-en,uk-en,-0.389470316195
mt-en,uk-en,-0.458342119353
my-en,uk-en,-0.727782885934
ne-en,uk-en,-0.800964558441
nl-en,uk-en,-0.231266346388
no-en,uk-en,-0.218261471838
ny-en,uk-en,-0.568202817366
pa-en,uk-en,-0.700407305057
pl-en,uk-en,-0.211115175135
ps-en,uk-en,-0.872141127694
pt-en,uk-en,-0.171560990827
ro-en,uk-en,-0.304523443227
ru-en,uk-en,-0.144858176755
sd-en,uk-en,-0.973057574525
si-en,uk-en,-0.87872841358
sk-en,uk-en,-0.214386436359
sl-en,uk-en,-0.346035211073
sm-en,uk-en,-0.811626766346
sn-en,uk-en,-0.726521815212
so-en,uk-en,-0.679326856304
sq-en,uk-en,-0.377039122162
sr-en,uk-en,-0.600537481701
st-en,uk-en,-0.73860736811
su-en,uk-en,-0.624621048732
sv-en,uk-en,-0.220824902737
sw-en,uk-en,-0.61867712987
ta-en,uk-en,-0.876889627861
te-en,uk-en,-0.715178557883
tg-en,uk-en,-0.820157149088
th-en,uk-en,-0.44676208675
tl-en,uk-en,-0.405937672111
tr-en,uk-en,-0.635770873732
uk-en,uk-en,0.0380221766697
ur-en,uk-en,-0.763184985854
uz-en,uk-en,-0.775347956107
vi-en,uk-en,-0.354677120472
xh-en,uk-en,-0.603783759483
yi-en,uk-en,-0.424493548245
yo-en,uk-en,-0.690015910417
zh-en,uk-en,-0.46023096414
zu-en,uk-en,-0.603826658481
af-en,ky-en,-0.731677469028
am-en,ky-en,-0.814831432324
ar-en,ky-en,-0.888707817363
az-en,ky-en,-0.464196203109
be-en,ky-en,-0.636643183796
bg-en,ky-en,-0.588214414589
bn-en,ky-en,-0.696516604234
bs-en,ky-en,-0.588172258665
ca-en,ky-en,-0.661207993563
ceb-en,ky-en,-0.804550835701
co-en,ky-en,-0.785742313683
cs-en,ky-en,-0.596129004214
cy-en,ky-en,-0.851725005197
da-en,ky-en,-0.644320195363
de-en,ky-en,-0.695912673327
el-en,ky-en,-0.62135006342
eo-en,ky-en,-0.790339586549
es-en,ky-en,-0.519253626442
et-en,ky-en,-0.829042637485
eu-en,ky-en,-0.809839319892
fa-en,ky-en,-0.629335858741
fi-en,ky-en,-0.820586016857
fr-en,ky-en,-0.630905173795
fy-en,ky-en,-0.871162035571
ga-en,ky-en,-0.852787194645
gd-en,ky-en,-0.884337817796
gl-en,ky-en,-0.554174705395
gu-en,ky-en,-0.721429664407
ha-en,ky-en,-0.855420908439
haw-en,ky-en,-0.796914032588
hi-en,ky-en,-0.601805550165
hmn-en,ky-en,-0.705934752805
hr-en,ky-en,-0.593820817025
ht-en,ky-en,-0.871537591559
hu-en,ky-en,-0.771662211326
hy-en,ky-en,-0.700788957445
id-en,ky-en,-0.634794753278
ig-en,ky-en,-0.767439934863
is-en,ky-en,-0.777966988219
it-en,ky-en,-0.647740435223
iw-en,ky-en,-0.886358499457
ja-en,ky-en,-0.405099112324
jw-en,ky-en,-0.832314413009
ka-en,ky-en,-0.619880435788
kk-en,ky-en,0.0565597591891
km-en,ky-en,-0.815378423166
kn-en,ky-en,-0.748676561267
ko-en,ky-en,-0.532073603525
ku-en,ky-en,-0.838161033241
ky-en,ky-en,-0.0506901195411
lb-en,ky-en,-0.890979657801
lo-en,ky-en,-0.802622646767
lt-en,ky-en,-0.773882618127
lv-en,ky-en,-0.736910147685
mg-en,ky-en,-0.818285531652
mi-en,ky-en,-0.776269323007
mk-en,ky-en,-0.632319117778
ml-en,ky-en,-0.790377816018
mn-en,ky-en,-0.741979300469
mr-en,ky-en,-0.724834101304
ms-en,ky-en,-0.638195768744
mt-en,ky-en,-0.82210348024
my-en,ky-en,-0.688770897194
ne-en,ky-en,-0.703518161889
nl-en,ky-en,-0.662057099105
no-en,ky-en,-0.654807248678
ny-en,ky-en,-0.773093192714
pa-en,ky-en,-0.769337076047
pl-en,ky-en,-0.621141726056
ps-en,ky-en,-0.802350865777
pt-en,ky-en,-0.513767847047
ro-en,ky-en,-0.661478995107
ru-en,ky-en,-0.335248731649
sd-en,ky-en,-0.881329935906
si-en,ky-en,-0.800857279593
sk-en,ky-en,-0.601240765975
sl-en,ky-en,-0.668196330998
sm-en,ky-en,-0.853977258696
sn-en,ky-en,-0.87393500705
so-en,ky-en,-0.841171378554
sq-en,ky-en,-0.757366681252
sr-en,ky-en,-0.687044699339
st-en,ky-en,-0.859353066899
su-en,ky-en,-0.835672041879
sv-en,ky-en,-0.65274105816
sw-en,ky-en,-0.874544178739
ta-en,ky-en,-0.768197321292
te-en,ky-en,-0.727175403324
tg-en,ky-en,-0.788352670173
th-en,ky-en,-0.626002350901
tl-en,ky-en,-0.807129051665
tr-en,ky-en,-0.628293884391
uk-en,ky-en,-0.57508086339
ur-en,ky-en,-0.682722573432
uz-en,ky-en,-0.506475940706
vi-en,ky-en,-0.672155444077
xh-en,ky-en,-0.933295227029
yi-en,ky-en,-0.675622758363
yo-en,ky-en,-0.851186988979
zh-en,ky-en,-0.412050949837
zu-en,ky-en,-0.892693366741
af-en,pl-en,-0.422355509251
am-en,pl-en,-0.731069325598
ar-en,pl-en,-0.679729740515
az-en,pl-en,-0.637082585241
be-en,pl-en,-0.322899725926
bg-en,pl-en,-0.237655672591
bn-en,pl-en,-0.871187618903
bs-en,pl-en,-0.562433079704
ca-en,pl-en,-0.392575749334
ceb-en,pl-en,-0.602428960791
co-en,pl-en,-0.677100560617
cs-en,pl-en,-0.424833270948
cy-en,pl-en,-0.758532731462
da-en,pl-en,-0.386194108828
de-en,pl-en,-0.277639711509
el-en,pl-en,-0.360098876689
eo-en,pl-en,-0.620893874009
es-en,pl-en,-0.251168765381
et-en,pl-en,-0.857455459332
eu-en,pl-en,-0.834465124171
fa-en,pl-en,-0.433746586908
fi-en,pl-en,-0.781698959113
fr-en,pl-en,-0.266150265827
fy-en,pl-en,-0.833307053642
ga-en,pl-en,-0.723858187065
gd-en,pl-en,-0.813637286233
gl-en,pl-en,-0.278118890906
gu-en,pl-en,-0.837274028589
ha-en,pl-en,-0.842033683832
haw-en,pl-en,-0.788540340578
hi-en,pl-en,-0.517229282621
hmn-en,pl-en,-0.539130296456
hr-en,pl-en,-0.569050188598
ht-en,pl-en,-0.732587897118
hu-en,pl-en,-0.786938230124
hy-en,pl-en,-0.597039801928
id-en,pl-en,-0.530031534934
ig-en,pl-en,-0.691660007184
is-en,pl-en,-0.594321254494
it-en,pl-en,-0.300876772775
iw-en,pl-en,-0.609808183548
ja-en,pl-en,-0.396221762939
jw-en,pl-en,-0.805725081516
ka-en,pl-en,-0.62649036727
kk-en,pl-en,-0.563062971108
km-en,pl-en,-0.391473257654
kn-en,pl-en,-0.895350496028
ko-en,pl-en,-0.412010913927
ku-en,pl-en,-0.83744506189
ky-en,pl-en,-0.69811433767
lb-en,pl-en,-0.67366356398
lo-en,pl-en,-0.470301978344
lt-en,pl-en,-0.77818897915
lv-en,pl-en,-0.791771207167
mg-en,pl-en,-0.746924875823
mi-en,pl-en,-0.772529941614
mk-en,pl-en,-0.263585863981
ml-en,pl-en,-0.932408015568
mn-en,pl-en,-0.580797653978
mr-en,pl-en,-0.823512279623
ms-en,pl-en,-0.535991072409
mt-en,pl-en,-0.557663566514
my-en,pl-en,-0.603450891558
ne-en,pl-en,-0.877801616781
nl-en,pl-en,-0.324111265066
no-en,pl-en,-0.384947646878
ny-en,pl-en,-0.738624337429
pa-en,pl-en,-0.818917933281
pl-en,pl-en,0.0776028088523
ps-en,pl-en,-0.712260517585
pt-en,pl-en,-0.252276078785
ro-en,pl-en,-0.546908059884
ru-en,pl-en,-0.201433150905
sd-en,pl-en,-0.89471277345
si-en,pl-en,-0.876093490264
sk-en,pl-en,-0.459687093285
sl-en,pl-en,-0.666403891201
sm-en,pl-en,-0.854777249066
sn-en,pl-en,-0.857781711333
so-en,pl-en,-0.845165854314
sq-en,pl-en,-0.646252274741
sr-en,pl-en,-0.477799443252
st-en,pl-en,-0.851969886424
su-en,pl-en,-0.767606016012
sv-en,pl-en,-0.446641154833
sw-en,pl-en,-0.847743489602
ta-en,pl-en,-0.926824921174
te-en,pl-en,-0.854499944371
tg-en,pl-en,-0.69149117786
th-en,pl-en,-0.350665639716
tl-en,pl-en,-0.539987224802
tr-en,pl-en,-0.7156962161
uk-en,pl-en,-0.231871472973
ur-en,pl-en,-0.678296657103
uz-en,pl-en,-0.838563958662
vi-en,pl-en,-0.426091431171
xh-en,pl-en,-0.904543859907
yi-en,pl-en,-0.396694573068
yo-en,pl-en,-0.791931442063
zh-en,pl-en,-0.323644724291
zu-en,pl-en,-0.864977715866
af-en,tr-en,-0.283926862491
am-en,tr-en,-0.569803402941
ar-en,tr-en,-0.721297709728
az-en,tr-en,-0.086698011774
be-en,tr-en,-0.418456398819
bg-en,tr-en,-0.28454862567
bn-en,tr-en,-0.790352894145
bs-en,tr-en,-0.683338825144
ca-en,tr-en,-0.443593786503
ceb-en,tr-en,-0.70451819366
